feature_noise,parameter_noise,runtime_noise,seed,selector,avg_runtime,avg_regret,accuracy
0.05,0.01,0.06,0,Oracle,1.7336530808093307,0.0,1.0
0.05,0.01,0.06,0,Global Best,2.366567997613895,0.632914916804564,1.0
0.05,0.01,0.06,0,Random,3.14281115976656,1.4091580789572293,0.10277777777777777
0.05,0.01,0.06,0,Cluster ISAC,1.7344782632022562,0.0008251823929251371,0.55
0.05,0.01,0.06,0,DGCAC-inspired,1.7348976680119088,0.0012445872025781926,0.4861111111111111
0.05,0.01,0.06,0,Privileged Classifier,1.7348024202718595,0.0011493394625286233,0.5305555555555556
0.05,0.01,0.06,0,Regressor,1.7347153053452347,0.0010622245359039612,0.5416666666666666
0.05,0.01,0.06,0,MLP Selector,1.734810031561658,0.0011569507523271337,0.475
0.05,0.01,0.06,1,Oracle,1.9590848571006407,0.0,1.0
0.05,0.01,0.06,1,Global Best,2.5985465577091937,0.6394617006085531,1.0
0.05,0.01,0.06,1,Random,3.28342644491832,1.3243415878176796,0.08888888888888889
0.05,0.01,0.06,1,Cluster ISAC,1.959929219053227,0.000844361952586114,0.5138888888888888
0.05,0.01,0.06,1,DGCAC-inspired,1.9605754840548097,0.0014906269541691392,0.44722222222222224
0.05,0.01,0.06,1,Privileged Classifier,1.960426380610184,0.0013415235095433538,0.46944444444444444
0.05,0.01,0.06,1,Regressor,1.9601619900803777,0.0010771329797370172,0.5055555555555555
0.05,0.01,0.06,1,MLP Selector,1.9600387007523612,0.0009538436517201789,0.5222222222222223
0.05,0.01,0.06,2,Oracle,1.7712391078415446,0.0,1.0
0.05,0.01,0.06,2,Global Best,2.3867788154626606,0.6155397076211159,1.0
0.05,0.01,0.06,2,Random,3.0055327851851636,1.234293677343619,0.08055555555555556
0.05,0.01,0.06,2,Cluster ISAC,1.7721455840752247,0.0009064762336799408,0.4888888888888889
0.05,0.01,0.06,2,DGCAC-inspired,1.7726520070511058,0.001412899209560886,0.44722222222222224
0.05,0.01,0.06,2,Privileged Classifier,1.772476400545764,0.0012372927042193585,0.48333333333333334
0.05,0.01,0.06,2,Regressor,1.7723220347923874,0.001082926950842865,0.5166666666666667
0.05,0.01,0.06,2,MLP Selector,1.7721831355936963,0.0009440277521518733,0.5444444444444444
0.05,0.01,0.06,3,Oracle,1.7415437125816489,0.0,1.0
0.05,0.01,0.06,3,Global Best,2.370765326053918,0.6292216134722696,1.0
0.05,0.01,0.06,3,Random,3.113566524189773,1.372022811608124,0.1
0.05,0.01,0.06,3,Cluster ISAC,1.742292096309682,0.0007483837280330517,0.5444444444444444
0.05,0.01,0.06,3,DGCAC-inspired,1.742649029301963,0.0011053167203143464,0.5222222222222223
