seed,episodes,selector,avg_total_penalty,avg_regret,avg_switch_cost
2,40,Global Best,0.09672261519002547,0.09672261519002547,0.0
2,40,Random,0.24828407311588493,0.21440907311588536,0.03387499999999956
2,40,Cluster ISAC,0.081485312912429,0.06717281291242902,0.01431249999999997
2,40,DGCAC-inspired,0.07807470455034214,0.07001220455034214,0.008062500000000005
2,40,Privileged Classifier,0.10075285409507122,0.08644035409507125,0.01431249999999997
2,40,Regressor,0.08166077724101559,0.0682232772410156,0.013437499999999988
2,40,MLP Selector,0.08792257278165663,0.07486007278165664,0.013062499999999996
2,40,Temporal MoE,0.17254860664568042,0.1469236066456807,0.02562499999999973
2,40,Temporal Soft Cluster ISAC,0.0761725405904429,0.0675475405904429,0.008625000000000006
2,80,Oracle,0.0,0.0,0.0
2,80,Global Best,0.09493484184722015,0.09493484184722015,0.0
2,80,Random,0.317892952797547,0.2838617027975475,0.034031249999999416
2,80,Cluster ISAC,0.071735311940853,0.05861031194085316,0.013124999999999859
2,80,DGCAC-inspired,0.07417317100209064,0.06792317100209064,0.006250000000000004
2,80,Privileged Classifier,0.09440050210900827,0.08033800210900843,0.014062499999999839
2,80,Regressor,0.07593902683480395,0.061814026834804116,0.014124999999999837
2,80,MLP Selector,0.07524448974432427,0.05952573974432446,0.015718749999999802
2,80,Temporal MoE,0.1817595376399673,0.15832203763996766,0.02343749999999964
2,80,Temporal Soft Cluster ISAC,0.06675951842728159,0.059040768427281606,0.007718749999999973
2,120,Oracle,0.0,0.0,0.0
2,120,Global Best,0.0926930719506608,0.0926930719506608,0.0
2,120,Random,0.36343273577491886,0.32914106910825264,0.03429166666666619
2,120,Cluster ISAC,0.06802587658694849,0.055296709920281996,0.012729166666666488
2,120,DGCAC-inspired,0.07680681243324777,0.07055681243324782,0.006249999999999959
2,120,Privileged Classifier,0.0848661396306999,0.07084530629736678,0.014020833333333127
2,120,Regressor,0.075300578481391,0.06117557848139122,0.014124999999999792
2,120,MLP Selector,0.07344125885597295,0.058253758855973184,0.015187499999999769
2,120,Temporal MoE,0.17551465638795996,0.15284798972129368,0.022666666666666276
2,120,Temporal Soft Cluster ISAC,0.06435266401280983,0.057310997346143214,0.0070416666666666084
2,160,Oracle,0.0,0.0,0.0
2,160,Global Best,0.09637919962318413,0.09637919962318413,0.0
2,160,Random,0.2816615277742579,0.24722402777425692,0.03443750000000101
2,160,Cluster ISAC,0.06993418637385045,0.05660606137385066,0.013328124999999785
2,160,DGCAC-inspired,0.07443800787466867,0.06800050787466874,0.006437499999999932
2,160,Privileged Classifier,0.08720597606799105,0.07420597606799126,0.012999999999999793
2,160,Regressor,0.07964558341275983,0.06570808341276006,0.013937499999999773
2,160,MLP Selector,0.06877748733354608,0.05374623733354633,0.01503124999999975
2,160,Temporal MoE,0.18829509322620958,0.16724821822620997,0.02104687499999962
2,160,Temporal Soft Cluster ISAC,0.06631491569477115,0.05933054069477123,0.00698437499999992
2,200,Oracle,0.0,0.0,0.0
2,200,Global Best,0.10001336139279429,0.10001336139279429,0.0
2,200,Random,0.26433958986145645,0.23001458986145462,0.03432500000000187
2,200,Cluster ISAC,0.07368515987287987,0.0602976598728801,0.01338749999999977
2,200,DGCAC-inspired,0.07216388042597356,0.06492638042597366,0.007237499999999901
2,200,Privileged Classifier,0.08194214169223328,0.0684296416922335,0.013512499999999768
2,200,Regressor,0.07884648155872685,0.0650839815587271,0.013762499999999763
2,200,MLP Selector,0.07667527746838201,0.06131277746838229,0.015362499999999729
2,200,Temporal MoE,0.1887007661494168,0.16857576614941716,0.020124999999999647
2,200,Temporal Soft Cluster ISAC,0.06784133195835124,0.060391331958351335,0.007449999999999897
3,20,Oracle,0.0,0.0,0.0
3,20,Global Best,0.0906622209704665,0.0906622209704665,0.0
3,20,Random,0.33303094887579815,0.29903094887579834,0.03399999999999982
3,20,Cluster ISAC,0.08204119666770845,0.06741619666770844,0.01462500000000001
3,20,DGCAC-inspired,0.07806920097734828,0.06981920097734827,0.008250000000000004
3,20,Privileged Classifier,0.09878499350271794,0.08565999350271793,0.013125000000000008
3,20,Regressor,0.07914688392516014,0.06439688392516014,0.01475000000000001
3,20,MLP Selector,0.08467805107356338,0.06705305107356338,0.017625000000000012
3,20,Temporal MoE,0.17357096468265612,0.14682096468265612,0.02674999999999998
3,20,Temporal Soft Cluster ISAC,0.080061877321346,0.071311877321346,0.008750000000000004
3,40,Oracle,0.0,0.0,0.0
3,40,Global Best,0.09770406401602193,0.09770406401602193,0.0
3,40,Random,0.28230877701956214,0.24787127701956257,0.034437499999999545
3,40,Cluster ISAC,0.06855276134371206,0.05617776134371205,0.01237500000000001
3,40,DGCAC-inspired,0.06932147688786848,0.06269647688786847,0.006625000000000004
3,40,Privileged Classifier,0.08847329797461258,0.0740357979746126,0.014437499999999968
3,40,Regressor,0.07390623612117951,0.06015623612117953,0.013749999999999981
3,40,MLP Selector,0.07864503971808652,0.06377003971808656,0.014874999999999958
3,40,Temporal MoE,0.17435159245820842,0.1516640924582086,0.02268749999999979
3,40,Temporal Soft Cluster ISAC,0.0737655772359109,0.0659530772359109,0.007812500000000005
3,80,Oracle,0.0,0.0,0.0
3,80,Global Best,0.0948545690919127,0.0948545690919127,0.0
3,80,Random,0.24257809855374135,0.20845309855374192,0.03412499999999941
3,80,Cluster ISAC,0.07338039945239165,0.06047414945239179,0.012906249999999864
3,80,DGCAC-inspired,0.08649686639548523,0.08021561639548523,0.006281250000000004
3,80,Privileged Classifier,0.09126435151341586,0.07732685151341602,0.013937499999999842
3,80,Regressor,0.07792779968848651,0.06533404968848663,0.01259374999999987
3,80,MLP Selector,0.07008016087040388,0.056861410870404014,0.013218749999999857
3,80,Temporal MoE,0.17285315085822978,0.15007190085823013,0.022781249999999652
